dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,auroc_clean,auroc_degradation,aggregator_effective,run_status
eicu,random_gauss,1,12.5,coord_median,True,23,0.89052,0.51069,0.81474,0.30382,0.8792278571428571,,0,0.269,976,0.88902,0.0014999999999999,coord_median,valid_primary
eicu,random_gauss,1,12.5,coord_median,True,37,0.89161,0.5029,0.80952,0.29571,0.8830303571428572,,0,0.277,976,0.89328,-0.0016699999999999,coord_median,valid_primary
eicu,random_gauss,1,12.5,trimmed_mean,True,7,0.89628,0.50628,0.81578,0.30549,0.8850957142857142,,0,0.267,976,0.8937,0.0025799999999999,trimmed_mean,valid_primary
eicu,random_gauss,1,12.5,trimmed_mean,True,11,0.89177,0.48638,0.80639,0.291,0.8813414285714286,,0,0.265,976,0.89395,-0.00218,trimmed_mean,valid_primary
eicu,random_gauss,1,12.5,trimmed_mean,True,19,0.89136,0.50061,0.8137,0.30217,0.8817478571428571,,0,0.265,976,0.8947,-0.00334,trimmed_mean,valid_primary
eicu,random_gauss,1,12.5,trimmed_mean,True,23,0.88718,0.47987,0.81265,0.30054,0.8767839285714284,,0,0.259,976,0.89194,-0.0047599999999999,trimmed_mean,valid_primary
eicu,random_gauss,1,12.5,trimmed_mean,True,37,0.89019,0.49371,0.80952,0.29571,0.8841078571428571,,0,0.265,976,0.89578,-0.0055899999999999,trimmed_mean,valid_primary
eicu,random_gauss,1,12.5,krum,True,7,0.88985,0.44898,0.80221,0.2849,0.8818696428571428,,0,0.266,976,0.89704,-0.0071899999999999,krum,valid_primary
eicu,random_gauss,1,12.5,krum,True,11,0.89887,0.5241,0.80952,0.29571,0.8810321428571426,,0,0.276,976,0.87357,0.0252999999999999,krum,valid_primary
eicu,random_gauss,1,12.5,krum,True,19,0.88676,0.52375,0.79595,0.27609,0.8812978571428571,,0,0.276,976,0.88676,0.0,krum,valid_primary
eicu,random_gauss,1,12.5,krum,True,23,0.87232,0.44917,0.81161,0.29891,0.8616282142857142,,0,0.267,976,0.87232,0.0,krum,valid_primary
eicu,random_gauss,1,12.5,krum,True,37,0.88668,0.52044,0.80743,0.29256,0.8818171428571427,,0,0.274,976,0.88935,-0.0026699999999999,krum,valid_primary
eicu,random_gauss,1,12.5,clipping,True,7,0.86564,0.42313,0.77804,0.26071,0.8570349999999998,,0,0.263,976,0.89052,-0.02488,clipping,valid_primary
eicu,random_gauss,1,12.5,clipping,True,11,0.85754,0.35089,0.75925,0.23647,0.8686675,,0,0.272,976,0.88994,-0.0323999999999999,clipping,valid_primary
eicu,random_gauss,1,12.5,clipping,True,19,0.86689,0.38791,0.7937,0.28351,0.8560528571428572,,0,0.269,976,0.89102,-0.0241299999999999,clipping,valid_primary
eicu,random_gauss,1,12.5,clipping,True,23,0.88117,0.45711,0.7843,0.26951,0.8569825000000001,,0,0.267,976,0.88835,-0.0071799999999999,clipping,valid_primary
eicu,random_gauss,1,12.5,clipping,True,37,0.89311,0.50927,0.78864,0.26629,0.8796217857142857,,0,0.277,976,0.89203,0.0010799999999999,clipping,valid_primary
eicu,random_gauss,2,25.0,fedavg,True,7,0.79349,0.23605,0.67595,0.16587,0.7330267857142856,,0,0.275,976,0.89052,-0.0970299999999999,fedavg,valid_primary
eicu,random_gauss,2,25.0,fedavg,True,11,0.79942,0.33999,0.71177,0.19756,0.7573489285714284,,0,0.268,976,0.88994,-0.0905199999999999,fedavg,valid_primary
eicu,random_gauss,2,25.0,fedavg,True,19,0.89044,0.45483,0.78342,0.25958,0.8082125,,0,0.267,976,0.89102,-0.00058,fedavg,valid_primary
eicu,random_gauss,2,25.0,fedavg,True,23,0.87749,0.35466,0.77507,0.24929,0.7870375000000001,,0,0.271,976,0.88835,-0.0108599999999999,fedavg,valid_primary
eicu,random_gauss,2,25.0,fedavg,True,37,0.79566,0.28304,0.73315,0.20695,0.7092103571428571,,0,0.269,976,0.89203,-0.0963699999999999,fedavg,valid_primary
eicu,random_gauss,2,25.0,coord_median,True,7,0.88994,0.48846,0.80952,0.29571,0.8795910714285714,,0,0.27,976,0.89253,-0.00259,coord_median,valid_primary
eicu,random_gauss,2,25.0,coord_median,True,11,0.89403,0.48536,0.79908,0.28044,0.8822107142857142,,0,0.268,976,0.89177,0.00226,coord_median,valid_primary
eicu,random_gauss,2,25.0,coord_median,True,19,0.89804,0.53273,0.80743,0.29256,0.8851892857142856,,0,0.287,976,0.89244,0.0055999999999999,coord_median,valid_primary
eicu,random_gauss,2,25.0,coord_median,True,23,0.88868,0.48769,0.81474,0.30382,0.8731485714285715,,0,0.274,976,0.88902,-0.00034,coord_median,valid_primary
eicu,random_gauss,2,25.0,coord_median,True,37,0.89353,0.48106,0.80639,0.291,0.8847567857142857,,0,0.274,976,0.89328,0.00025,coord_median,valid_primary
eicu,random_gauss,2,25.0,trimmed_mean,True,7,0.89177,0.49148,0.80326,0.2864,0.8804289285714286,,0,0.273,976,0.8937,-0.00193,trimmed_mean,valid_primary
eicu,random_gauss,2,25.0,trimmed_mean,True,11,0.88852,0.46555,0.80743,0.29256,0.8765028571428571,,0,0.266,976,0.89395,-0.00543,trimmed_mean,valid_primary
eicu,random_gauss,2,25.0,trimmed_mean,True,19,0.89745,0.52735,0.81265,0.30054,0.8834657142857143,,0,0.27,976,0.8947,0.0027499999999999,trimmed_mean,valid_primary
eicu,random_gauss,2,25.0,trimmed_mean,True,23,0.88635,0.47096,0.81891,0.31057,0.8750264285714285,,0,0.271,976,0.89194,-0.0055899999999999,trimmed_mean,valid_primary
eicu,random_gauss,2,25.0,trimmed_mean,True,37,0.89403,0.4845,0.80952,0.29571,0.884687857142857,,0,0.294,976,0.89578,-0.00175,trimmed_mean,valid_primary
eicu,random_gauss,2,25.0,krum,True,7,0.89704,0.5156,0.80743,0.29256,0.8804771428571428,,0,0.288,976,0.89704,0.0,krum,valid_primary
eicu,random_gauss,2,25.0,krum,True,11,0.89887,0.5241,0.80952,0.29571,0.8810321428571426,,0,0.304,976,0.87357,0.0252999999999999,krum,valid_primary
eicu,random_gauss,2,25.0,krum,True,19,0.89086,0.45597,0.8043,0.28792,0.8821714285714285,,0,0.291,976,0.88676,0.0040999999999999,krum,valid_primary
eicu,random_gauss,2,25.0,krum,True,23,0.88209,0.49607,0.80848,0.29413,0.8711450000000001,,0,0.302,976,0.87232,0.00977,krum,valid_primary
eicu,random_gauss,2,25.0,krum,True,37,0.89996,0.55825,0.80534,0.28946,0.8896617857142858,,0,0.296,976,0.88935,0.01061,krum,valid_primary
eicu,random_gauss,2,25.0,clipping,True,7,0.88109,0.47254,0.79282,0.27183,0.8642478571428571,,0,0.291,976,0.89052,-0.0094299999999999,clipping,valid_primary
eicu,random_gauss,2,25.0,clipping,True,11,0.85453,0.32362,0.75996,0.25552,0.8427342857142855,,0,0.29,976,0.88994,-0.0354099999999999,clipping,valid_primary
eicu,random_gauss,2,25.0,clipping,True,19,0.89871,0.58997,0.79491,0.27466,0.8645167857142857,,0,0.279,976,0.89102,0.0076899999999999,clipping,valid_primary
eicu,random_gauss,2,25.0,clipping,True,23,0.81862,0.31446,0.77386,0.25506,0.8209907142857144,,0,0.271,976,0.88835,-0.0697299999999999,clipping,valid_primary
eicu,random_gauss,2,25.0,clipping,True,37,0.82814,0.30388,0.75578,0.24909,0.8460496428571428,,0,0.28,976,0.89203,-0.06389,clipping,valid_primary
eicu,random_gauss,3,37.5,fedavg,True,7,0.85562,0.32095,0.79073,0.26904,0.7999057142857142,,0,0.278,976,0.89052,-0.0348999999999999,fedavg,valid_primary
eicu,random_gauss,3,37.5,fedavg,True,11,0.80534,0.22922,0.76013,0.24522,0.6821789285714285,,0,0.277,976,0.88994,-0.0846,fedavg,valid_primary
eicu,random_gauss,3,37.5,fedavg,True,19,0.77578,0.20688,0.70568,0.18509,0.8059396428571428,,0,0.271,976,0.89102,-0.11524,fedavg,valid_primary
eicu,random_gauss,3,37.5,fedavg,True,23,0.7458,0.41946,0.61678,0.10143,0.7399610714285715,,0,0.272,976,0.88835,-0.1425499999999999,fedavg,valid_primary
eicu,random_gauss,3,37.5,fedavg,True,37,0.86213,0.36175,0.75612,0.2327,0.8196089285714285,,0,0.274,976,0.89203,-0.0299,fedavg,valid_primary
