model_seed,crn_idx,scenario,round,n_attend,participation_clinical,active_clients,auroc,pr_auc,comm_cost_params,comm_cost_bytes,chain_hash
7,0,C3,4,367,0.9129,2,0.5628,0.21544,48,192,f70cbd3b0ea41098
7,0,C3,5,340,0.8458,2,0.56721,0.18882,48,192,e2cfbf047ab03408
7,0,C3,6,350,0.8706,2,0.56496,0.21731,48,192,91d8ec10caf645af
7,0,C3,7,355,0.8831,2,0.55834,0.21631,48,192,a9a6aac0f5ae8f5a
7,0,C3,8,363,0.903,2,0.55814,0.22675,48,192,1892dd4af85f4ca7
7,0,C3,9,365,0.908,2,0.5404,0.21404,48,192,8fd8c3f6a5eee9bb
7,0,C3,10,364,0.9055,2,0.56541,0.23312,48,192,9c8d35986220eddd
7,0,C3,11,361,0.898,2,0.55939,0.22577,48,192,fab57bc0a1f2d833
7,0,C3,12,356,0.8856,2,0.55122,0.24092,48,192,f266c568f8b6652b
7,0,C3,13,359,0.893,2,0.57122,0.23152,48,192,9bb855dae7f6a280
7,0,C3,14,348,0.8657,2,0.54636,0.22338,48,192,f4e75c007100ef91
7,0,C3,15,346,0.8607,2,0.55684,0.23139,48,192,a9e3bcbf9b1eec60
7,0,C3,16,357,0.8881,2,0.5628,0.22416,48,192,9e2601e2440d489d
7,0,C3,17,365,0.908,2,0.56215,0.21852,48,192,9b01dc63bf1aacea
7,0,C3,18,356,0.8856,2,0.55458,0.21112,48,192,267a73d402f10146
7,0,C3,19,353,0.8781,2,0.55749,0.22851,48,192,76405c961ae3b3a3
7,0,C3,20,362,0.9005,2,0.54255,0.22393,48,192,4b569203882a48bc
7,1,C0,1,326,0.8109,2,0.55849,0.23056,48,192,5b0c0966292597e0
7,1,C0,2,337,0.8383,2,0.55613,0.24819,48,192,74e19f36e72ef791
7,1,C0,3,336,0.8358,2,0.54706,0.22364,48,192,7d046a438f1c689f
7,1,C0,4,336,0.8358,2,0.55769,0.23101,48,192,989ba53380d93774
