experiment,scenario,scenario_label,round,n_total,n_attend,participation_rate,active_clients,auroc,pr_auc,ece,brier,comm_cost_bidir,calibration,chain_hash
cimas_warm,C2,FL nonattendance-risk ranking,5,12649,6254,0.4944,23,0.78398,0.83796,0.11277,0.20358,966,DR_primary,62f9efdf77a4fb69
cimas_warm,C2,FL nonattendance-risk ranking,6,12649,6348,0.5019,23,0.78434,0.83891,0.11093,0.20287,966,DR_primary,00d44e20ff53f180
cimas_warm,C2,FL nonattendance-risk ranking,7,12649,6438,0.509,23,0.78613,0.84025,0.11652,0.20392,966,DR_primary,8ddeb12c2c0732f5
cimas_warm,C2,FL nonattendance-risk ranking,8,12649,6272,0.4958,23,0.78433,0.83837,0.11227,0.20339,966,DR_primary,3ca5d29debae7188
cimas_warm,C2,FL nonattendance-risk ranking,9,12649,6314,0.4992,23,0.78453,0.83887,0.11253,0.20336,966,DR_primary,561236c6232bb8b4
cimas_warm,C2,FL nonattendance-risk ranking,10,12649,6261,0.495,23,0.78411,0.83873,0.11183,0.20332,966,DR_primary,4a0d3c864820f6b6
cimas_warm,C2,FL nonattendance-risk ranking,11,12649,6333,0.5007,23,0.78483,0.83917,0.1117,0.20305,966,DR_primary,d64b0e4b77caa5db
cimas_warm,C2,FL nonattendance-risk ranking,12,12649,6265,0.4953,23,0.78469,0.83944,0.11611,0.20419,966,DR_primary,fe2c8a3c617de672
cimas_warm,C2,FL nonattendance-risk ranking,13,12649,6290,0.4973,23,0.78477,0.83932,0.11368,0.2037,966,DR_primary,03a0712904607277
cimas_warm,C2,FL nonattendance-risk ranking,14,12649,6267,0.4955,23,0.78456,0.83902,0.11409,0.2037,966,DR_primary,5fbe111cd1afb0f1
cimas_warm,C2,FL nonattendance-risk ranking,15,12649,6332,0.5006,23,0.7848,0.83867,0.1121,0.20326,966,DR_primary,26baf7a37639e4bd
cimas_warm,C2,FL nonattendance-risk ranking,16,12649,6396,0.5057,23,0.78467,0.83923,0.11414,0.20371,966,DR_primary,e77722c64dc7d975
cimas_warm,C2,FL nonattendance-risk ranking,17,12649,6331,0.5005,23,0.78508,0.83903,0.11492,0.20379,966,DR_primary,b3fd0a62b3e28005
cimas_warm,C2,FL nonattendance-risk ranking,18,12649,6364,0.5031,23,0.78506,0.83903,0.11259,0.20286,966,DR_primary,4b3ffe3a13b958a5
cimas_warm,C2,FL nonattendance-risk ranking,19,12649,6342,0.5014,23,0.78542,0.83986,0.11626,0.20415,966,DR_primary,f5035632ead88acd
cimas_warm,C2,FL nonattendance-risk ranking,20,12649,6339,0.5011,23,0.78503,0.8392,0.11565,0.20383,966,DR_primary,b3e9aeb94943646e
cimas_warm,C3,Cross-fitted DR uplift ranking,1,12649,6293,0.4975,23,0.7846,0.83894,0.11503,0.20407,966,DR_primary,5d937fbd15be54da
cimas_warm,C3,Cross-fitted DR uplift ranking,2,12649,6302,0.4982,23,0.78489,0.83908,0.11461,0.2036,966,DR_primary,8928f6eb78288807
cimas_warm,C3,Cross-fitted DR uplift ranking,3,12649,6270,0.4957,23,0.78536,0.8396,0.1154,0.20386,966,DR_primary,bb4fe3ab1848ba61
cimas_warm,C3,Cross-fitted DR uplift ranking,4,12649,6293,0.4975,23,0.78408,0.83847,0.11225,0.20351,966,DR_primary,2a5692c7c02910fd
cimas_warm,C3,Cross-fitted DR uplift ranking,5,12649,6254,0.4944,23,0.78398,0.83796,0.11277,0.20358,966,DR_primary,b9558cb8cbacbae0
cimas_warm,C3,Cross-fitted DR uplift ranking,6,12649,6348,0.5019,23,0.78434,0.83891,0.11093,0.20287,966,DR_primary,6ae021e0d5a7495a
cimas_warm,C3,Cross-fitted DR uplift ranking,7,12649,6438,0.509,23,0.78613,0.84025,0.11652,0.20392,966,DR_primary,e4ab3e8bb4a3f4ca
cimas_warm,C3,Cross-fitted DR uplift ranking,8,12649,6272,0.4958,23,0.78433,0.83837,0.11227,0.20339,966,DR_primary,49aed543017e807c
cimas_warm,C3,Cross-fitted DR uplift ranking,9,12649,6314,0.4992,23,0.78453,0.83887,0.11253,0.20336,966,DR_primary,362346cd2799c56d
cimas_warm,C3,Cross-fitted DR uplift ranking,10,12649,6261,0.495,23,0.78411,0.83873,0.11183,0.20332,966,DR_primary,930bc0b9fac0b7a2
cimas_warm,C3,Cross-fitted DR uplift ranking,11,12649,6333,0.5007,23,0.78483,0.83917,0.1117,0.20305,966,DR_primary,f15cc461feae9297
cimas_warm,C3,Cross-fitted DR uplift ranking,12,12649,6265,0.4953,23,0.78469,0.83944,0.11611,0.20419,966,DR_primary,ffde2a72f07c1230
cimas_warm,C3,Cross-fitted DR uplift ranking,13,12649,6290,0.4973,23,0.78477,0.83932,0.11368,0.2037,966,DR_primary,277ce7da5db22f40
cimas_warm,C3,Cross-fitted DR uplift ranking,14,12649,6267,0.4955,23,0.78456,0.83902,0.11409,0.2037,966,DR_primary,10351f7fa11cdd6e
cimas_warm,C3,Cross-fitted DR uplift ranking,15,12649,6332,0.5006,23,0.7848,0.83867,0.1121,0.20326,966,DR_primary,9aa73a504e4c6db6
cimas_warm,C3,Cross-fitted DR uplift ranking,16,12649,6396,0.5057,23,0.78467,0.83923,0.11414,0.20371,966,DR_primary,badde6673be76ad8
cimas_warm,C3,Cross-fitted DR uplift ranking,17,12649,6331,0.5005,23,0.78508,0.83903,0.11492,0.20379,966,DR_primary,3b7384cfaef8412f
cimas_warm,C3,Cross-fitted DR uplift ranking,18,12649,6364,0.5031,23,0.78506,0.83903,0.11259,0.20286,966,DR_primary,c08af93c9bc0ca5c
cimas_warm,C3,Cross-fitted DR uplift ranking,19,12649,6342,0.5014,23,0.78542,0.83986,0.11626,0.20415,966,DR_primary,a136bafc9d1ede33
cimas_warm,C3,Cross-fitted DR uplift ranking,20,12649,6339,0.5011,23,0.78503,0.8392,0.11565,0.20383,966,DR_primary,4ca0f2077f57684b
