experiment,seed,scenario,scenario_label,round,n_min_attend,n_attend_vm,active_clients,auroc_holdout,comm_cost_bidir
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,19,4892,4892,23,0.78657,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,19,4892,4892,23,0.78657,966
cimas_cold_vm,7,C0,No incentive,20,4977,4502,23,0.78626,966
cimas_cold_vm,7,C1,Random allocation,20,4977,4977,23,0.78639,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,20,4977,4977,23,0.78649,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,20,4977,4977,23,0.7865,966
cimas_cold_vm,7,C0,No incentive,21,5027,4574,23,0.78661,966
cimas_cold_vm,7,C1,Random allocation,21,5027,5027,23,0.78654,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,21,5027,5027,23,0.78646,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,21,5027,5027,23,0.78644,966
cimas_cold_vm,7,C0,No incentive,22,5083,4641,23,0.78668,966
cimas_cold_vm,7,C1,Random allocation,22,5083,5083,23,0.78671,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,22,5083,5083,23,0.78663,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,22,5083,5083,23,0.78653,966
cimas_cold_vm,7,C0,No incentive,23,5031,4562,23,0.7867,966
cimas_cold_vm,7,C1,Random allocation,23,5031,5031,23,0.78665,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,23,5031,5031,23,0.78641,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,23,5031,5031,23,0.78643,966
cimas_cold_vm,7,C0,No incentive,24,4995,4538,23,0.78685,966
cimas_cold_vm,7,C1,Random allocation,24,4995,4995,23,0.78682,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,24,4995,4995,23,0.78675,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,24,4995,4995,23,0.78681,966
cimas_cold_vm,7,C0,No incentive,25,5019,4586,23,0.786,966
cimas_cold_vm,7,C1,Random allocation,25,5019,5019,23,0.78613,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,25,5019,5019,23,0.78572,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,25,5019,5019,23,0.78571,966
cimas_cold_vm,7,C0,No incentive,26,5050,4609,23,0.78665,966
cimas_cold_vm,7,C1,Random allocation,26,5050,5050,23,0.78659,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,26,5050,5050,23,0.78651,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,26,5050,5050,23,0.78658,966
cimas_cold_vm,7,C0,No incentive,27,5120,4626,23,0.78589,966
cimas_cold_vm,7,C1,Random allocation,27,5120,5120,23,0.78591,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,27,5120,5120,23,0.78571,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,27,5120,5120,23,0.78571,966
cimas_cold_vm,7,C0,No incentive,28,5021,4568,23,0.7864,966
cimas_cold_vm,7,C1,Random allocation,28,5021,5021,23,0.78655,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,28,5021,5021,23,0.78661,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,28,5021,5021,23,0.78662,966
cimas_cold_vm,7,C0,No incentive,29,5047,4593,23,0.78633,966
