experiment,seed,scenario,scenario_label,round,n_attend,participation_rate,active_clients,auroc_holdout,pr_auc_holdout,ece_holdout,comm_cost_bidir,calibration
cimas_cold,7,C1,Random allocation,30,5091,0.5031,23,0.78619,0.84234,0.11369,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,1,5017,0.4958,23,0.78726,0.84355,0.11845,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,2,5010,0.4951,23,0.7861,0.84302,0.11187,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,3,5017,0.4958,23,0.78618,0.84273,0.11313,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,4,5036,0.4977,23,0.78577,0.84235,0.11294,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,5,5110,0.505,23,0.78617,0.84304,0.11369,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,6,5099,0.5039,23,0.78744,0.84356,0.11866,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,7,5098,0.5038,23,0.78608,0.84287,0.11241,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,8,4994,0.4935,23,0.78637,0.84291,0.11521,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,9,4988,0.4929,23,0.78627,0.84261,0.11578,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,10,5040,0.4981,23,0.78596,0.84273,0.11054,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,11,5047,0.4988,23,0.78605,0.84255,0.11282,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,12,5000,0.4941,23,0.78599,0.84252,0.11237,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,13,5090,0.503,23,0.78668,0.84327,0.1142,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,14,5049,0.499,23,0.78617,0.84272,0.11624,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,15,4959,0.4901,23,0.78669,0.84307,0.11261,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,16,5037,0.4978,23,0.78667,0.84299,0.11442,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,17,5056,0.4997,23,0.78586,0.84273,0.1124,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,18,5080,0.502,23,0.78643,0.84284,0.11378,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,19,4892,0.4834,23,0.78657,0.84303,0.11411,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,20,4997,0.4938,23,0.78654,0.84281,0.11492,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,21,5032,0.4973,23,0.78642,0.84304,0.11364,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,22,5099,0.5039,23,0.7866,0.8431,0.11505,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,23,5061,0.5001,23,0.78643,0.84283,0.11182,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,24,5009,0.495,23,0.78679,0.843,0.11651,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,25,5024,0.4965,23,0.78572,0.84267,0.11218,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,26,5068,0.5008,23,0.78657,0.84301,0.11523,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,27,5120,0.506,23,0.78571,0.8424,0.11053,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,28,5029,0.497,23,0.78663,0.84302,0.11372,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,29,5068,0.5008,23,0.78619,0.84282,0.11283,966,DR_primary
cimas_cold,7,C2,FL nonattendance-risk ranking,30,5113,0.5053,23,0.78602,0.84247,0.11394,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,1,5017,0.4958,23,0.78726,0.84355,0.11845,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,2,5010,0.4951,23,0.7861,0.84302,0.11187,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,3,5017,0.4958,23,0.78618,0.84273,0.11313,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,4,5036,0.4977,23,0.78577,0.84235,0.11294,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,5,5110,0.505,23,0.78617,0.84304,0.11369,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,6,5099,0.5039,23,0.78744,0.84356,0.11866,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,7,5098,0.5038,23,0.78608,0.84287,0.11241,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,8,4994,0.4935,23,0.78637,0.84291,0.11521,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,9,4988,0.4929,23,0.78627,0.84261,0.11578,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,10,5040,0.4981,23,0.78596,0.84273,0.11054,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,11,5047,0.4988,23,0.78605,0.84255,0.11282,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,12,5000,0.4941,23,0.78599,0.84252,0.11237,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,13,5090,0.503,23,0.78668,0.84327,0.1142,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,14,5049,0.499,23,0.78617,0.84272,0.11624,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,15,4959,0.4901,23,0.78669,0.84307,0.11261,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,16,5037,0.4978,23,0.78667,0.84299,0.11442,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,17,5056,0.4997,23,0.78586,0.84273,0.1124,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,18,5080,0.502,23,0.78643,0.84284,0.11378,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,19,4892,0.4834,23,0.78657,0.84303,0.11411,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,20,4997,0.4938,23,0.78654,0.84281,0.11492,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,21,5032,0.4973,23,0.78642,0.84304,0.11364,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,22,5099,0.5039,23,0.7866,0.8431,0.11505,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,23,5061,0.5001,23,0.78643,0.84283,0.11182,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,24,5009,0.495,23,0.78679,0.843,0.11651,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,25,5024,0.4965,23,0.78572,0.84267,0.11218,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,26,5068,0.5008,23,0.78657,0.84301,0.11523,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,27,5120,0.506,23,0.78571,0.8424,0.11053,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,28,5029,0.497,23,0.78663,0.84302,0.11372,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,29,5068,0.5008,23,0.78619,0.84282,0.11283,966,DR_primary
cimas_cold,7,C3,Cross-fitted DR uplift ranking,30,5113,0.5053,23,0.78602,0.84247,0.11394,966,DR_primary
cimas_cold,11,C0,No incentive,1,4680,0.4625,23,0.78631,0.84291,0.11503,966,DR_primary
cimas_cold,11,C0,No incentive,2,4672,0.4617,23,0.78642,0.84277,0.11525,966,DR_primary
cimas_cold,11,C0,No incentive,3,4641,0.4586,23,0.78586,0.84207,0.11166,966,DR_primary
cimas_cold,11,C0,No incentive,4,4562,0.4508,23,0.78655,0.84275,0.11247,966,DR_primary
cimas_cold,11,C0,No incentive,5,4505,0.4452,23,0.78728,0.8437,0.11564,966,DR_primary
cimas_cold,11,C0,No incentive,6,4593,0.4539,23,0.78581,0.84188,0.11176,966,DR_primary
cimas_cold,11,C0,No incentive,7,4568,0.4514,23,0.78654,0.84303,0.11427,966,DR_primary
cimas_cold,11,C0,No incentive,8,4567,0.4513,23,0.78655,0.84343,0.11331,966,DR_primary
cimas_cold,11,C0,No incentive,9,4572,0.4518,23,0.78687,0.84317,0.11646,966,DR_primary
cimas_cold,11,C0,No incentive,10,4616,0.4562,23,0.78717,0.84337,0.11478,966,DR_primary
cimas_cold,11,C0,No incentive,11,4479,0.4426,23,0.78625,0.84263,0.11632,966,DR_primary
cimas_cold,11,C0,No incentive,12,4581,0.4527,23,0.78651,0.84307,0.11526,966,DR_primary
cimas_cold,11,C0,No incentive,13,4661,0.4606,23,0.78642,0.84315,0.11482,966,DR_primary
cimas_cold,11,C0,No incentive,14,4548,0.4495,23,0.78618,0.84274,0.11576,966,DR_primary
cimas_cold,11,C0,No incentive,15,4505,0.4452,23,0.78624,0.84283,0.1147,966,DR_primary
cimas_cold,11,C0,No incentive,16,4699,0.4644,23,0.78623,0.84264,0.11337,966,DR_primary
cimas_cold,11,C0,No incentive,17,4600,0.4546,23,0.78678,0.8433,0.11568,966,DR_primary
cimas_cold,11,C0,No incentive,18,4647,0.4592,23,0.78677,0.84344,0.11828,966,DR_primary
cimas_cold,11,C0,No incentive,19,4544,0.4491,23,0.78728,0.84335,0.11688,966,DR_primary
cimas_cold,11,C0,No incentive,20,4530,0.4477,23,0.78643,0.84285,0.11493,966,DR_primary
cimas_cold,11,C0,No incentive,21,4633,0.4579,23,0.78687,0.84359,0.11588,966,DR_primary
cimas_cold,11,C0,No incentive,22,4633,0.4579,23,0.78654,0.84304,0.11711,966,DR_primary
cimas_cold,11,C0,No incentive,23,4601,0.4547,23,0.78639,0.8427,0.1131,966,DR_primary
cimas_cold,11,C0,No incentive,24,4550,0.4496,23,0.78616,0.84258,0.11454,966,DR_primary
cimas_cold,11,C0,No incentive,25,4508,0.4455,23,0.78555,0.84266,0.11351,966,DR_primary
cimas_cold,11,C0,No incentive,26,4475,0.4422,23,0.78638,0.84264,0.11379,966,DR_primary
cimas_cold,11,C0,No incentive,27,4518,0.4465,23,0.78649,0.84278,0.11722,966,DR_primary
cimas_cold,11,C0,No incentive,28,4542,0.4489,23,0.78634,0.84278,0.11601,966,DR_primary
cimas_cold,11,C0,No incentive,29,4647,0.4592,23,0.78663,0.84304,0.11678,966,DR_primary
cimas_cold,11,C0,No incentive,30,4568,0.4514,23,0.78621,0.84252,0.11322,966,DR_primary
cimas_cold,11,C1,Random allocation,1,5129,0.5069,23,0.78659,0.843,0.11432,966,DR_primary
cimas_cold,11,C1,Random allocation,2,5109,0.5049,23,0.78639,0.84267,0.1149,966,DR_primary
cimas_cold,11,C1,Random allocation,3,5068,0.5008,23,0.78554,0.84187,0.1116,966,DR_primary
cimas_cold,11,C1,Random allocation,4,4998,0.4939,23,0.78668,0.84269,0.11281,966,DR_primary
