method,D_obs,LCB95,verdict
FedAvg,-0.003684346406316208,-0.006785857294148367,NONINFERIOR
FedProx,-0.0037136933017475338,-0.006831792512425633,NONINFERIOR
FedAvg-equal,-0.003992236687249906,-0.006922251835276011,NONINFERIOR
SCAFFOLD,-0.0039873203259018775,-0.006913805541986884,NONINFERIOR
FedAdam,-0.00793543582156675,-0.012222284469767536,NONINFERIOR
