method,obs,lcb_95,lo_95,hi_95,K,formatted_2sided,verdict
FedAvg,-0.002135152536008074,-0.004520269695266751,-0.005032250121508795,0.0007676835033415849,23,-0.002 [95% CI -0.005-0.001],NONINFERIOR
FedProx,-0.002228692120410735,-0.004666746831111545,-0.0051352737190278695,0.000702038353994841,23,-0.002 [95% CI -0.005-0.001],NONINFERIOR
FedAvg-equal,-0.0014689499208383424,-0.0039980486535209445,-0.004473962979774148,0.0014213603800159482,23,-0.001 [95% CI -0.004-0.001],NONINFERIOR
SCAFFOLD,-0.0014392335809048857,-0.003959463977199233,-0.004398352587301347,0.0014353220560179248,23,-0.001 [95% CI -0.004-0.001],NONINFERIOR
FedAdam,-0.00514263381130066,-0.009514082745777494,-0.010504281290916203,4.1489908260765225e-05,23,-0.005 [95% CI -0.011-0.000],NONINFERIOR
