mu,n_obs,ratio_median,ratio_q25,ratio_q75,ratio_iqr,prox_grad_median,data_grad_median
0.001,720,0.0001263276216770058,8.178544568849112e-05,0.00017496827755650633,9.31828318680152e-05,2.895822962921319e-05,0.2367775602219344
0.01,720,0.0012626902706866145,0.0008176396643901125,0.0017484503606392588,0.0009308106962491464,0.0002895972247712016,0.23690509807735435
0.1,720,0.012568439801623081,0.008154937747242862,0.017361807026138952,0.00920686927889609,0.0028885671616561896,0.23818070991657161
1.0,720,0.11996864809817023,0.07942362170953687,0.16179766295853665,0.08237404124899977,0.028524783574872037,0.25106736812910135
