seed,condition,round,client_id,n_train,n_test,prevalence,auroc
7,cold_fed,3,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7266425557564798
7,cold_fed,3,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8393333333333334
7,cold_fed,3,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7415553809897879
7,cold_fed,3,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8421052631578947
7,cold_fed,3,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.830005787037037
7,cold_fed,3,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8180392156862746
7,cold_fed,3,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6979166666666666
7,cold_fed,3,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,3,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,3,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,3,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7521367521367521
7,cold_fed,3,MEDICINE CHEST,94,24,0.3333333333333333,0.6875
7,cold_fed,3,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7769054878048781
7,cold_fed,3,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,3,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,3,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,4,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6339285714285714
7,cold_fed,4,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6160714285714286
7,cold_fed,4,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6761904761904761
7,cold_fed,4,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8615638002773925
7,cold_fed,4,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8064516129032258
7,cold_fed,4,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7360627177700348
7,cold_fed,4,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8039956367162249
7,cold_fed,4,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7279987944544906
7,cold_fed,4,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8397777777777777
7,cold_fed,4,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7426027755957056
7,cold_fed,4,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8427033492822966
7,cold_fed,4,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8307291666666666
7,cold_fed,4,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8172549019607843
7,cold_fed,4,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6979166666666666
7,cold_fed,4,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,4,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,4,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,4,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7521367521367521
7,cold_fed,4,MEDICINE CHEST,94,24,0.3333333333333333,0.6875
7,cold_fed,4,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7773373983739837
7,cold_fed,4,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,4,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,4,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,5,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6339285714285714
7,cold_fed,5,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6071428571428572
7,cold_fed,5,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6773809523809523
7,cold_fed,5,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8619105409153953
7,cold_fed,5,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8053392658509455
7,cold_fed,5,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7364982578397212
