seed,condition,round,n_providers,mean_auroc,min_auroc,max_auroc,var_auroc,iqr_auroc,q25_auroc,q75_auroc
7,cold_fed,1,23,0.7882064100861416,0.625,0.9537037037037036,0.008123466209359352,0.11563508090518537,0.7281954306884841,0.8438305115936695
7,cold_fed,2,23,0.7886755195531019,0.625,0.9537037037037036,0.008127806081203968,0.11460503782898612,0.7292254737646834,0.8438305115936695
7,cold_fed,3,23,0.7889118758282436,0.625,0.9537037037037036,0.008111774472384816,0.11343022799714275,0.7306993266587277,0.8441295546558705
7,cold_fed,4,23,0.788879068294314,0.6160714285714286,0.9537037037037036,0.008225656207253983,0.11239784160580868,0.7320307561122628,0.8444285977180714
7,cold_fed,5,23,0.7886375052723437,0.6071428571428572,0.9537037037037036,0.008349360815484997,0.11165264541062792,0.7327759523074435,0.8444285977180714
7,cold_fed,6,23,0.7892552690792194,0.6160714285714286,0.9537037037037036,0.008024847505463922,0.11150195222196002,0.7329266454961114,0.8444285977180714
7,cold_fed,7,23,0.7889232171603193,0.6071428571428571,0.9537037037037036,0.00815423789491528,0.11061074946838101,0.7332197621252885,0.8438305115936695
7,cold_fed,8,23,0.7897763850558492,0.6071428571428571,0.9537037037037036,0.008117488329128474,0.10994682630055796,0.7341827283553125,0.8441295546558705
7,cold_fed,9,23,0.7898592873775252,0.6071428571428571,0.9523809523809524,0.007955826647284977,0.10928524644786974,0.7348443082080007,0.8441295546558705
7,cold_fed,10,23,0.7900843735931248,0.6071428571428571,0.9523809523809524,0.007870229182002458,0.10818578321036032,0.7362428145077111,0.8444285977180714
7,cold_fed,11,23,0.7906163098076004,0.6071428571428571,0.9523809523809524,0.007896159900742071,0.10788439683302464,0.7365442008850468,0.8444285977180714
7,cold_fed,12,23,0.7916110810389737,0.6071428571428571,0.9510582010582008,0.00794745095389484,0.10994325458641929,0.7369209338567165,0.8468641884431358
7,cold_fed,13,23,0.791587635187212,0.6071428571428571,0.9484126984126984,0.007720573307430836,0.11005852546731809,0.7371047060380187,0.8471632315053368
