experiment,scenario,scenario_label,round,n_total,n_attend,n_incentivized,participation_rate,incentive_util,active_clients,local_sample_counts,cumulative_records,auroc,pr_auc,ece,brier,comm_cost_params,model_hash,policy_hash,alloc_hash,attend_hash,agg_hash,chain_hash
betterbp,C1,Random allocation,2,402,221,268,0.5498,1.0,2,"{""A"": 170, ""B"": 51}",423,0.54466,0.20756,0.35555,0.24918,24,fb6c0c2fd7a6bb0b,fb6c0c2fd7a6bb0b,d547fe73e2c7b051,d84ab365c957c4cc,4e4e155139a3e751,ea99c532f7c8ba24
betterbp,C1,Random allocation,3,402,220,268,0.5473,1.0,2,"{""A"": 180, ""B"": 40}",643,0.55839,0.18912,0.3555,0.24916,24,656188c40daa4e64,656188c40daa4e64,144d870353878411,dc539da0024cd71f,d750c9a25ed70417,d5e560f095f5dd4e
betterbp,C1,Random allocation,4,402,214,268,0.5323,1.0,2,"{""A"": 168, ""B"": 46}",857,0.53954,0.21145,0.35554,0.24911,24,df4e5f566e2c6249,df4e5f566e2c6249,a60ad70b37475574,07806898cb6d8da3,2337f47900aa8c10,d28aa6b464270c3b
betterbp,C1,Random allocation,5,402,219,268,0.5448,1.0,2,"{""A"": 175, ""B"": 44}",1076,0.53338,0.181,0.35547,0.24932,24,162bf1422d157861,162bf1422d157861,1a4dbcda2275c6c5,f732c7c7325f97ec,fd4c53148104fd51,24aa349d3772b034
betterbp,C1,Random allocation,6,402,203,268,0.505,1.0,2,"{""A"": 161, ""B"": 42}",1279,0.54882,0.20429,0.35546,0.249,24,a80f4d25e3da7fbf,a80f4d25e3da7fbf,560dbbe472a6be41,f1be1d85813d565b,87960dcfe44bec9c,e495b4e4e2143cff
betterbp,C1,Random allocation,7,402,203,268,0.505,1.0,2,"{""A"": 161, ""B"": 42}",1482,0.51874,0.19912,0.35551,0.24918,24,af2dd48554e8a87c,af2dd48554e8a87c,432e166da43be342,ac3a4b13df3edb7e,263881b6ccae85d9,49f41ef3d2ca59a7
betterbp,C1,Random allocation,8,402,214,268,0.5323,1.0,2,"{""A"": 167, ""B"": 47}",1696,0.52952,0.19409,0.35532,0.24976,24,2a97a081ba97ae20,2a97a081ba97ae20,66f8a4cefee1cd70,074346adba95eb34,281a38013206ce7b,d058d2a67ae4eca8
betterbp,C1,Random allocation,9,402,205,268,0.51,1.0,2,"{""A"": 157, ""B"": 48}",1901,0.54912,0.17333,0.35559,0.24965,24,8a78b92a6fe647f3,8a78b92a6fe647f3,f5f0244a5f673137,466a8e130e6cd065,6f46c8a2df8e8efd,f7e31f629149af98
betterbp,C1,Random allocation,10,402,242,268,0.602,1.0,2,"{""A"": 192, ""B"": 50}",2143,0.55659,0.2108,0.35555,0.24912,24,5a738f8244bc5149,5a738f8244bc5149,c5e4810a1a8c84e6,829720b396efa51f,7e77d5959316d6cd,de48bdbf8c8cebde
betterbp,C1,Random allocation,11,402,251,268,0.6244,1.0,2,"{""A"": 204, ""B"": 47}",2394,0.5643,0.21148,0.35562,0.24917,24,8af10e7028f6eae6,8af10e7028f6eae6,e39dbb9a55e72072,049c2fb9c3010210,cbce30b833298c66,9acb0151e0d1ea96
