Arm,N,Completed,Completed_pct,Discontinued,Discontinued_pct,Unknown_missing_EOS,Unknown_pct
Intervention,266,207,77.8,45,16.9,14,5.3
Control,136,105,77.2,20,14.7,11,8.1
