f,f_pct,final_auroc,final_pr_auc,hon_norm_mean,mal_norm_mean,norm_ratio
0,0.0,0.8820876826722338,0.46120786556899596,0.048764135045534195,,
1,12.5,0.8674739039665972,0.397764716720423,0.09247781141327831,0.5485762535266169,5.973129383182396
2,25.0,0.8668058455114822,0.3969948048939036,0.09758760992273012,0.2552793758459855,2.6254948772102837
3,37.5,0.8660542797494781,0.3776632376086461,0.09987453896935525,0.15445875943420925,1.5486925999987227
5,62.5,0.8740709812108559,0.4394145190256763,0.1048284415203516,0.059213407164392474,0.5616697744822983
6,75.0,0.8636325678496868,0.37538049396228246,0.11856100724470099,0.0426059807673215,0.3564641929443923
