dataset,attack,f,f_pct,defense,krum_applicable,auroc_mean,auroc_lo95,auroc_hi95,degradation_mean,degradation_lo95,degradation_hi95,bsr_mean,bsr_lo95,bsr_hi95,conv_fail_rate,comm_params_round
eicu,random_gauss,3,37.5,krum,False,0.76653,0.6755775,0.823948,-0.11727799999999997,-0.20403899999999994,-0.062165999999999964,,,,0.0,976
eicu,random_gauss,3,37.5,trimmed_mean,True,0.890438,0.886382,0.8951960000000001,-0.0035760000000000236,-0.007364000000000015,0.0010139999999999594,,,,0.0,976
eicu,scaled_poison,1,12.5,clipping,True,0.893164,0.88950615,0.895668,0.002792000000000039,-0.0009979999999999655,0.005132000000000025,,,,0.0,976
eicu,scaled_poison,1,12.5,coord_median,True,0.8932079999999999,0.89204,0.8943760000000001,0.0014000000000000013,0.000524750000000031,0.002283999999999975,,,,0.0,976
eicu,scaled_poison,1,12.5,fedavg,True,0.893164,0.88950615,0.895668,0.002792000000000039,-0.0009979999999999655,0.005132000000000025,,,,0.0,976
eicu,scaled_poison,1,12.5,krum,True,0.8868960000000001,0.8783735500000001,0.8940024,0.003088000000000024,-0.0043139999999999516,0.014926349999999986,,,,0.0,976
eicu,scaled_poison,1,12.5,trimmed_mean,True,0.894684,0.892948,0.8962462499999999,0.0006699999999999706,-0.0006846500000000215,0.0015219999999999789,,,,0.0,976
eicu,scaled_poison,2,25.0,clipping,True,0.8942460000000001,0.8896200000000001,0.8972519999999999,0.003874,-0.000802000000000036,0.007634000000000052,,,,0.0,976
eicu,scaled_poison,2,25.0,coord_median,True,0.8942479999999999,0.8929351,0.8955000000000002,0.00244000000000002,0.0015040000000000608,0.0034920000000000285,,,,0.0,976
eicu,scaled_poison,2,25.0,fedavg,True,0.8942460000000001,0.8896200000000001,0.8972519999999999,0.003874,-0.000802000000000036,0.007634000000000052,,,,0.0,976
eicu,scaled_poison,2,25.0,krum,True,0.893764,0.8873833499999999,0.8991579999999999,0.00995600000000001,0.003594000000000008,0.017134000000000003,,,,0.0,976
eicu,scaled_poison,2,25.0,trimmed_mean,True,0.8961840000000001,0.8943047,0.89762945,0.0021700000000000053,0.0013900000000000468,0.0029601499999999887,,,,0.0,976
eicu,scaled_poison,3,37.5,clipping,True,0.8964039999999999,0.8919940000000001,0.8998280000000001,0.006031999999999993,0.0015759999999999553,0.010090000000000043,,,,0.0,976
eicu,scaled_poison,3,37.5,coord_median,True,0.8965339999999999,0.89525855,0.8975000000000001,0.004725999999999985,0.004472949999999971,0.005004399999999963,,,,0.0,976
eicu,scaled_poison,3,37.5,fedavg,True,0.8964039999999999,0.8919940000000001,0.8998280000000001,0.006031999999999993,0.0015759999999999553,0.010090000000000043,,,,0.0,976
eicu,scaled_poison,3,37.5,krum,False,0.8964039999999999,0.8919940000000001,0.8998280000000001,0.012596000000000006,0.0014059999999999962,0.023418000000000005,,,,0.0,976
eicu,scaled_poison,3,37.5,trimmed_mean,True,0.8965339999999999,0.89525855,0.8975000000000001,0.0025199999999999667,0.0022339999999999804,0.002869999999999928,,,,0.0,976
eicu,sign_flip,1,12.5,clipping,True,0.8837759999999999,0.880418,0.888352,-0.0065959999999999795,-0.009800749999999988,-0.002251999999999965,,,,0.0,976
eicu,sign_flip,1,12.5,coord_median,True,0.8920239999999999,0.890038,0.89399665,0.00021600000000001617,-0.0022399999999999755,0.002244850000000019,,,,0.0,976
eicu,sign_flip,1,12.5,fedavg,True,0.8837759999999999,0.880418,0.888352,-0.0065959999999999795,-0.009800749999999988,-0.002251999999999965,,,,0.0,976
eicu,sign_flip,1,12.5,krum,True,0.8868960000000001,0.8783735500000001,0.8940024,0.003088000000000024,-0.0043139999999999516,0.014926349999999986,,,,0.0,976
eicu,sign_flip,1,12.5,trimmed_mean,True,0.890236,0.888816,0.891656,-0.003778000000000037,-0.005698000000000048,-0.002344000000000057,,,,0.0,976
eicu,sign_flip,2,25.0,clipping,True,0.8755899999999999,0.8660760999999999,0.88404,-0.014782000000000007,-0.02319220000000001,-0.0069819999999999995,,,,0.0,976
eicu,sign_flip,2,25.0,coord_median,True,0.890274,0.88822575,0.8921620000000001,-0.0015340000000000132,-0.004252400000000045,0.0005559999999999787,,,,0.0,976
eicu,sign_flip,2,25.0,fedavg,True,0.8755899999999999,0.8660760999999999,0.88404,-0.014782000000000007,-0.02319220000000001,-0.0069819999999999995,,,,0.0,976
eicu,sign_flip,2,25.0,krum,True,0.893764,0.8873833499999999,0.8991579999999999,0.00995600000000001,0.003594000000000008,0.017134000000000003,,,,0.0,976
eicu,sign_flip,2,25.0,trimmed_mean,True,0.8890699999999999,0.886796,0.8916600000000001,-0.004944000000000015,-0.007098000000000026,-0.0023560000000000247,,,,0.0,976
eicu,sign_flip,3,37.5,clipping,True,0.8310320000000001,0.803426,0.858638,-0.05933999999999999,-0.08629599999999996,-0.03228635000000004,,,,0.0,976
eicu,sign_flip,3,37.5,coord_median,True,0.878382,0.870196,0.88787,-0.013426000000000004,-0.022631999999999965,-0.003752000000000022,,,,0.0,976
eicu,sign_flip,3,37.5,fedavg,True,0.8310320000000001,0.803426,0.858638,-0.05933999999999999,-0.08629599999999996,-0.03228635000000004,,,,0.0,976
eicu,sign_flip,3,37.5,krum,False,0.8310320000000001,0.803426,0.858638,-0.052775999999999976,-0.07370199999999996,-0.028824150000000007,,,,0.0,976
eicu,sign_flip,3,37.5,trimmed_mean,True,0.878382,0.870196,0.88787,-0.015632000000000024,-0.02480200000000001,-0.006128000000000045,,,,0.0,976
