seed,mia_auroc,advantage,confidence_sep,member_conf,nonmember_conf,dataset
7,0.49879563492063494,0.003984126984126979,-0.0021135896587766156,0.5820827077427425,0.5841962974015191,eicu
11,0.49587103174603175,-3.17460317460494e-05,-0.0033929027904271436,0.5814843227781304,0.5848772255685576,eicu
19,0.49780357142857146,0.007920634920634884,-0.0024061914873937384,0.5812179798531341,0.5836241713405278,eicu
23,0.49572817460317464,0.0019523809523809277,-0.003271218065646897,0.5812509762892414,0.5845221943548883,eicu
37,0.4968194444444444,0.005920634920634882,-0.0028975258376329194,0.5820395294132517,0.5849370552508846,eicu
7,0.5068956521739131,0.01186561264822128,0.004346913422658805,0.6106132115198859,0.6062662980972271,cimas
11,0.5061968379446641,0.014284584980237103,0.0040076155593888885,0.6105359189271843,0.6065283033677954,cimas
19,0.5066521739130434,0.008284584980237097,0.004111636559379184,0.6101470826655563,0.6060354461061771,cimas
23,0.5069667984189723,0.009098814229248964,0.004300026961414072,0.610187146358404,0.6058871193969899,cimas
37,0.5070426877470355,0.007470355731225231,0.0045480122831071945,0.611402981618077,0.6068549693349699,cimas
