dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,run_id
eicu,random_gauss,2,25.0,krum,True,11,0.89887,0.5241,0.80952,0.29571,0.8810321428571426,,0,0.296,976,w09
eicu,random_gauss,2,25.0,krum,True,19,0.89086,0.45597,0.8043,0.28792,0.8821714285714285,,0,0.291,976,w09
eicu,random_gauss,2,25.0,krum,True,23,0.88209,0.49607,0.80848,0.29413,0.8711450000000001,,0,0.292,976,w09
eicu,random_gauss,2,25.0,krum,True,37,0.89996,0.55825,0.80534,0.28946,0.8896617857142858,,0,0.272,976,w09
eicu,random_gauss,2,25.0,clipping,True,7,0.88827,0.37905,0.77106,0.23981,0.8654542857142857,,0,0.271,976,w09
eicu,random_gauss,2,25.0,clipping,True,11,0.8942,0.42562,0.78551,0.26224,0.8741253571428571,,0,0.272,976,w09
eicu,random_gauss,2,25.0,clipping,True,19,0.86322,0.37632,0.75612,0.2327,0.8556003571428571,,0,0.271,976,w09
eicu,random_gauss,2,25.0,clipping,True,23,0.84292,0.33821,0.75491,0.2382,0.7650614285714287,,0,0.287,976,w09
eicu,random_gauss,2,25.0,clipping,True,37,0.8734,0.54701,0.79996,0.29345,0.8507735714285714,,0,0.28,976,w09
eicu,random_gauss,3,37.5,fedavg,True,7,0.75048,0.18975,0.69541,0.17147,0.6726321428571429,,0,0.283,976,w09
eicu,random_gauss,3,37.5,fedavg,True,11,0.88392,0.45397,0.75942,0.2313,0.8460957142857143,,0,0.271,976,w09
eicu,random_gauss,3,37.5,fedavg,True,19,0.799,0.30857,0.71942,0.19601,0.7845246428571429,,0,0.274,976,w09
eicu,random_gauss,3,37.5,fedavg,True,23,0.69854,0.2268,0.62409,0.10783,0.5715228571428571,,0,0.277,976,w09
eicu,random_gauss,3,37.5,fedavg,True,37,0.76225,0.23622,0.7076,0.19241,0.7210485714285714,,0,0.278,976,w09
eicu,random_gauss,3,37.5,coord_median,True,7,0.89303,0.48812,0.80848,0.29413,0.8834953571428572,,0,0.29,976,w09
eicu,random_gauss,3,37.5,coord_median,True,11,0.88534,0.47435,0.80221,0.2849,0.8759467857142856,,0,0.278,976,w09
eicu,random_gauss,3,37.5,coord_median,True,19,0.8967,0.51199,0.8137,0.30217,0.8836707142857143,,0,0.276,976,w09
eicu,random_gauss,3,37.5,coord_median,True,23,0.88718,0.46912,0.81265,0.30054,0.8742882142857142,,0,0.279,976,w09
eicu,random_gauss,3,37.5,coord_median,True,37,0.89211,0.47957,0.80534,0.28946,0.8833603571428571,,0,0.279,976,w09
eicu,random_gauss,3,37.5,trimmed_mean,True,7,0.89303,0.48812,0.80848,0.29413,0.8834953571428572,,0,0.274,976,w09
eicu,random_gauss,3,37.5,trimmed_mean,True,11,0.88534,0.47435,0.80221,0.2849,0.8759467857142856,,0,0.279,976,w09
eicu,random_gauss,3,37.5,trimmed_mean,True,19,0.8967,0.51199,0.8137,0.30217,0.8836707142857143,,0,0.274,976,w09
eicu,random_gauss,3,37.5,trimmed_mean,True,23,0.88718,0.46912,0.81265,0.30054,0.8742882142857142,,0,0.285,976,w09
eicu,random_gauss,3,37.5,trimmed_mean,True,37,0.89211,0.47957,0.80534,0.28946,0.8833603571428571,,0,0.276,976,w09
eicu,random_gauss,3,37.5,krum,False,7,0.75048,0.18975,0.69541,0.17147,0.6726321428571429,,0,0.276,976,w09
eicu,random_gauss,3,37.5,krum,False,11,0.88392,0.45397,0.75942,0.2313,0.8460957142857143,,0,0.268,976,w09
eicu,random_gauss,3,37.5,krum,False,19,0.799,0.30857,0.71942,0.19601,0.7845246428571429,,0,0.294,976,w09
eicu,random_gauss,3,37.5,krum,False,23,0.69854,0.2268,0.62409,0.10783,0.5715228571428571,,0,0.336,976,w09
eicu,random_gauss,3,37.5,krum,False,37,0.76225,0.23622,0.7076,0.19241,0.7210485714285714,,0,0.287,976,w09
eicu,random_gauss,3,37.5,clipping,True,7,0.81603,0.27919,0.70898,0.18503,0.7939274999999999,,0,0.279,976,w09
eicu,random_gauss,3,37.5,clipping,True,11,0.88643,0.5125,0.7709,0.24434,0.8702110714285715,,0,0.311,976,w09
eicu,random_gauss,3,37.5,clipping,True,19,0.85896,0.35354,0.7615,0.23361,0.8411964285714285,,0,0.285,976,w09
eicu,random_gauss,3,37.5,clipping,True,23,0.85261,0.34502,0.75386,0.23682,0.7214217857142857,,0,0.278,976,w09
eicu,random_gauss,3,37.5,clipping,True,37,0.84593,0.38553,0.76117,0.24666,0.8270985714285713,,0,0.272,976,w09
eicu,backdoor,1,12.5,fedavg,True,7,0.89027,0.48745,0.81265,0.30054,0.8807328571428572,0.89683,0,0.28,976,w09
eicu,backdoor,1,12.5,fedavg,True,11,0.88919,0.4894,0.80952,0.29571,0.8799260714285715,0.89683,0,0.288,976,w09
eicu,backdoor,1,12.5,fedavg,True,19,0.89136,0.4972,0.81265,0.30054,0.8818907142857144,0.90675,0,0.281,976,w09
eicu,backdoor,1,12.5,fedavg,True,23,0.88902,0.48404,0.81056,0.2973,0.8770053571428572,0.89286,0,0.296,976,w09
eicu,backdoor,1,12.5,fedavg,True,37,0.89186,0.49729,0.80848,0.29413,0.8837425,0.88492,0,0.292,976,w09
eicu,backdoor,1,12.5,coord_median,True,7,0.89127,0.49884,0.80952,0.29571,0.8813746428571428,0.88095,0,0.288,976,w09
eicu,backdoor,1,12.5,coord_median,True,11,0.89253,0.50433,0.80639,0.291,0.8807682142857143,0.87897,0,0.285,976,w09
eicu,backdoor,1,12.5,coord_median,True,19,0.89244,0.51441,0.80743,0.29256,0.8820960714285714,0.89087,0,0.285,976,w09
eicu,backdoor,1,12.5,coord_median,True,23,0.89035,0.50081,0.80952,0.29571,0.8778317857142858,0.88492,0,0.287,976,w09
eicu,backdoor,1,12.5,coord_median,True,37,0.89219,0.50532,0.80848,0.29413,0.8833617857142857,0.87302,0,0.288,976,w09
eicu,backdoor,1,12.5,trimmed_mean,True,7,0.89353,0.50758,0.81056,0.2973,0.8832028571428572,0.89286,0,0.285,976,w09
eicu,backdoor,1,12.5,trimmed_mean,True,11,0.89294,0.49863,0.80952,0.29571,0.8816435714285713,0.88095,0,0.308,976,w09
eicu,backdoor,1,12.5,trimmed_mean,True,19,0.89403,0.50866,0.80848,0.29413,0.8837221428571428,0.90278,0,0.325,976,w09
eicu,backdoor,1,12.5,trimmed_mean,True,23,0.89244,0.50786,0.8137,0.30217,0.8798649999999999,0.89087,0,0.301,976,w09
eicu,backdoor,1,12.5,trimmed_mean,True,37,0.89411,0.50696,0.80952,0.29571,0.8857135714285713,0.88095,0,0.328,976,w09
eicu,backdoor,1,12.5,krum,True,7,0.88985,0.44898,0.80221,0.2849,0.8818696428571428,0.75397,0,0.392,976,w09
eicu,backdoor,1,12.5,krum,True,11,0.89971,0.5297,0.80848,0.29413,0.8824950000000001,0.84524,0,0.293,976,w09
eicu,backdoor,1,12.5,krum,True,19,0.90196,0.58691,0.80534,0.28946,0.8874350000000001,0.9246,0,0.304,976,w09
eicu,backdoor,1,12.5,krum,True,23,0.89587,0.54186,0.8043,0.28792,0.8820914285714286,0.89881,0,0.33,976,w09
eicu,backdoor,1,12.5,krum,True,37,0.88668,0.52044,0.80743,0.29256,0.8818171428571427,0.85714,0,0.291,976,w09
eicu,backdoor,1,12.5,clipping,True,7,0.89027,0.48745,0.81265,0.30054,0.8807328571428572,0.89683,0,0.291,976,w09
eicu,backdoor,1,12.5,clipping,True,11,0.88919,0.4894,0.80952,0.29571,0.8799260714285715,0.89683,0,0.298,976,w09
eicu,backdoor,1,12.5,clipping,True,19,0.89136,0.4972,0.81265,0.30054,0.8818907142857144,0.90675,0,0.282,976,w09
eicu,backdoor,1,12.5,clipping,True,23,0.88902,0.48404,0.81056,0.2973,0.8770053571428572,0.89286,0,0.282,976,w09
eicu,backdoor,1,12.5,clipping,True,37,0.89186,0.49729,0.80848,0.29413,0.8837425,0.88492,0,0.281,976,w09
eicu,backdoor,2,25.0,fedavg,True,7,0.89052,0.499,0.80952,0.29571,0.88148,0.91667,0,0.324,976,w09
eicu,backdoor,2,25.0,fedavg,True,11,0.8901,0.49638,0.81161,0.29891,0.8808489285714287,0.9127,0,0.322,976,w09
eicu,backdoor,2,25.0,fedavg,True,19,0.89194,0.50189,0.81056,0.2973,0.883154642857143,0.91468,0,0.304,976,w09
eicu,backdoor,2,25.0,fedavg,True,23,0.8891,0.48793,0.81056,0.2973,0.8769496428571429,0.9127,0,0.317,976,w09
eicu,backdoor,2,25.0,fedavg,True,37,0.89211,0.50018,0.81056,0.2973,0.8846467857142858,0.9127,0,0.321,976,w09
eicu,backdoor,2,25.0,coord_median,True,7,0.89219,0.50838,0.80848,0.29413,0.8815417857142858,0.90079,0,0.32,976,w09
eicu,backdoor,2,25.0,coord_median,True,11,0.89203,0.50407,0.80743,0.29256,0.8817535714285716,0.88492,0,0.317,976,w09
eicu,backdoor,2,25.0,coord_median,True,19,0.89361,0.52113,0.80534,0.28946,0.8846342857142856,0.89881,0,0.337,976,w09
eicu,backdoor,2,25.0,coord_median,True,23,0.89111,0.51825,0.80952,0.29571,0.878207857142857,0.8869,0,0.308,976,w09
eicu,backdoor,2,25.0,coord_median,True,37,0.89186,0.50874,0.80848,0.29413,0.8850471428571429,0.8869,0,0.299,976,w09
eicu,backdoor,2,25.0,trimmed_mean,True,7,0.89311,0.50877,0.81056,0.2973,0.8827774999999998,0.90278,0,0.294,976,w09
eicu,backdoor,2,25.0,trimmed_mean,True,11,0.89311,0.50576,0.80952,0.29571,0.8820907142857145,0.8869,0,0.302,976,w09
eicu,backdoor,2,25.0,trimmed_mean,True,19,0.89503,0.52391,0.80639,0.291,0.8848378571428572,0.90476,0,0.306,976,w09
eicu,backdoor,2,25.0,trimmed_mean,True,23,0.89228,0.50859,0.81161,0.29891,0.8789353571428572,0.8869,0,0.302,976,w09
eicu,backdoor,2,25.0,trimmed_mean,True,37,0.89537,0.52102,0.80952,0.29571,0.8866117857142858,0.89087,0,0.319,976,w09
eicu,backdoor,2,25.0,krum,True,7,0.89846,0.51791,0.80743,0.29256,0.8839242857142857,0.84921,0,0.304,976,w09
eicu,backdoor,2,25.0,krum,True,11,0.87357,0.44971,0.78848,0.2756,0.8628324999999999,0.88492,0,0.302,976,w09
eicu,backdoor,2,25.0,krum,True,19,0.89086,0.45597,0.8043,0.28792,0.8821714285714285,0.78373,0,0.309,976,w09
eicu,backdoor,2,25.0,krum,True,23,0.89904,0.56017,0.81578,0.30549,0.8831825,0.89087,0,0.311,976,w09
eicu,backdoor,2,25.0,krum,True,37,0.90029,0.57364,0.80326,0.2864,0.8921885714285713,0.90873,0,0.309,976,w09
eicu,backdoor,2,25.0,clipping,True,7,0.89052,0.499,0.80952,0.29571,0.88148,0.91667,0,0.303,976,w09
eicu,backdoor,2,25.0,clipping,True,11,0.8901,0.49638,0.81161,0.29891,0.8808489285714287,0.9127,0,0.321,976,w09
eicu,backdoor,2,25.0,clipping,True,19,0.89194,0.50189,0.81056,0.2973,0.883154642857143,0.91468,0,0.313,976,w09
eicu,backdoor,2,25.0,clipping,True,23,0.8891,0.48793,0.81056,0.2973,0.8769496428571429,0.9127,0,0.324,976,w09
eicu,backdoor,2,25.0,clipping,True,37,0.89211,0.50018,0.81056,0.2973,0.8846467857142858,0.9127,0,0.328,976,w09
eicu,backdoor,3,37.5,fedavg,True,7,0.89069,0.50481,0.80952,0.29571,0.8815617857142858,0.91865,0,0.314,976,w09
eicu,backdoor,3,37.5,fedavg,True,11,0.8891,0.49312,0.81056,0.2973,0.8809028571428572,0.92262,0,0.317,976,w09
eicu,backdoor,3,37.5,fedavg,True,19,0.89294,0.50521,0.80848,0.29413,0.8842017857142858,0.92063,0,0.316,976,w09
eicu,backdoor,3,37.5,fedavg,True,23,0.88935,0.49286,0.80952,0.29571,0.8778075000000001,0.91865,0,0.342,976,w09
eicu,backdoor,3,37.5,fedavg,True,37,0.89278,0.51692,0.8137,0.30217,0.8851839285714285,0.92063,0,0.314,976,w09
eicu,backdoor,3,37.5,coord_median,True,7,0.89044,0.50613,0.80952,0.29571,0.8807210714285715,0.90873,0,0.319,976,w09
eicu,backdoor,3,37.5,coord_median,True,11,0.89111,0.50494,0.80952,0.29571,0.8803335714285714,0.8869,0,0.316,976,w09
eicu,backdoor,3,37.5,coord_median,True,19,0.89478,0.53007,0.80326,0.2864,0.8852578571428571,0.90079,0,0.32,976,w09
eicu,backdoor,3,37.5,coord_median,True,23,0.89044,0.52202,0.81161,0.29891,0.8779939285714286,0.89484,0,0.328,976,w09
eicu,backdoor,3,37.5,coord_median,True,37,0.89253,0.52383,0.80743,0.29256,0.8854492857142857,0.91865,0,0.338,976,w09
eicu,backdoor,3,37.5,trimmed_mean,True,7,0.89044,0.50613,0.80952,0.29571,0.8807210714285715,0.90873,0,0.349,976,w09
eicu,backdoor,3,37.5,trimmed_mean,True,11,0.89111,0.50494,0.80952,0.29571,0.8803335714285714,0.8869,0,0.315,976,w09
eicu,backdoor,3,37.5,trimmed_mean,True,19,0.89478,0.53007,0.80326,0.2864,0.8852578571428571,0.90079,0,0.326,976,w09
eicu,backdoor,3,37.5,trimmed_mean,True,23,0.89044,0.52202,0.81161,0.29891,0.8779939285714286,0.89484,0,0.317,976,w09
eicu,backdoor,3,37.5,trimmed_mean,True,37,0.89253,0.52383,0.80743,0.29256,0.8854492857142857,0.91865,0,0.318,976,w09
eicu,backdoor,3,37.5,krum,False,7,0.89069,0.50481,0.80952,0.29571,0.8815617857142858,0.91865,0,0.315,976,w09
eicu,backdoor,3,37.5,krum,False,11,0.8891,0.49312,0.81056,0.2973,0.8809028571428572,0.92262,0,0.339,976,w09
eicu,backdoor,3,37.5,krum,False,19,0.89294,0.50521,0.80848,0.29413,0.8842017857142858,0.92063,0,0.318,976,w09
eicu,backdoor,3,37.5,krum,False,23,0.88935,0.49286,0.80952,0.29571,0.8778075000000001,0.91865,0,0.321,976,w09
eicu,backdoor,3,37.5,krum,False,37,0.89278,0.51692,0.8137,0.30217,0.8851839285714285,0.92063,0,0.32,976,w09
eicu,backdoor,3,37.5,clipping,True,7,0.89069,0.50481,0.80952,0.29571,0.8815617857142858,0.91865,0,0.318,976,w09
eicu,backdoor,3,37.5,clipping,True,11,0.8891,0.49312,0.81056,0.2973,0.8809028571428572,0.92262,0,0.311,976,w09
eicu,backdoor,3,37.5,clipping,True,19,0.89294,0.50521,0.80848,0.29413,0.8842017857142858,0.92063,0,0.311,976,w09
eicu,backdoor,3,37.5,clipping,True,23,0.88935,0.49286,0.80952,0.29571,0.8778075000000001,0.91865,0,0.339,976,w09
eicu,backdoor,3,37.5,clipping,True,37,0.89278,0.51692,0.8137,0.30217,0.8851839285714285,0.92063,0,0.324,976,w09
cimas,random_gauss,2,8.7,fedavg,True,7,0.79031,0.70021,0.72991,0.46337,0.7834324999999999,,0,0.317,966,w09
cimas,random_gauss,2,8.7,fedavg,True,11,0.79044,0.70292,0.7336,0.46976,0.7885135714285713,,0,0.304,966,w09
cimas,random_gauss,2,8.7,fedavg,True,19,0.79001,0.70153,0.7302,0.46378,0.7878710714285714,,0,0.295,966,w09
cimas,random_gauss,2,8.7,fedavg,True,23,0.79001,0.69956,0.7278,0.45677,0.7880867857142858,,0,0.299,966,w09
cimas,random_gauss,2,8.7,fedavg,True,37,0.78871,0.69765,0.73382,0.46938,0.786855,,0,0.314,966,w09
cimas,random_gauss,2,8.7,coord_median,True,7,0.78979,0.70134,0.72918,0.45975,0.7877467857142857,,0,0.371,966,w09
cimas,random_gauss,2,8.7,coord_median,True,11,0.7907,0.70279,0.7299,0.46112,0.7893428571428572,,0,0.313,966,w09
