label,n,adh_n_pos,adh_prevalence,adh_pr_auc,adh_pr_lift,adh_auroc,adh_brier,adh_ece,adh_mcc,adh_balanced_acc,adh_cal_slope,adh_cal_intercept,adh_precision_25pct,adh_recall_25pct,adh_lift_25pct,adh_precision_50pct,adh_recall_50pct,adh_lift_50pct,adh_precision_66pct,adh_recall_66pct,adh_lift_66pct,risk_n_pos,risk_prevalence,risk_pr_auc,risk_pr_lift,risk_auroc,risk_brier,risk_ece,risk_mcc,risk_balanced_acc,risk_cal_slope,risk_cal_intercept,risk_precision_25pct,risk_recall_25pct,risk_lift_25pct,risk_precision_50pct,risk_recall_50pct,risk_lift_50pct,risk_precision_66pct,risk_recall_66pct,risk_lift_66pct,auroc,mode,test_client,seed,fl_method
LocalOnly_ASHBRITTLE   PHARMACY_s7,110,42,0.38181818181818183,0.4403053950205335,1.1531807964823497,0.5742296918767508,0.25411179521964744,0.1463265006228966,0.05478321348909789,0.5262605042016807,0.3475962581167586,-0.46038197740490394,0.5185185185185185,0.3333333333333333,1.3580246913580245,0.43636363636363634,0.5714285714285714,1.1428571428571428,0.3888888888888889,0.6666666666666666,1.0185185185185186,68,0.6181818181818182,0.6897769036366831,1.1158155794122815,0.5742296918767508,0.25411179521964744,0.14632650062289662,0.05478321348909789,0.5262605042016807,0.34759625811675865,0.460381977404904,0.6666666666666666,0.2647058823529412,1.0784313725490196,0.6727272727272727,0.5441176470588235,1.0882352941176472,0.6805555555555556,0.7205882352941176,1.1008986928104576,0.5742296918767508,local_only,ASHBRITTLE   PHARMACY,7,
LocalOnly_ASHBRITTLE   PHARMACY_s11,110,42,0.38181818181818183,0.47863763140716914,1.2535747489235383,0.613095238095238,0.24182277245140718,0.11670496219400926,0.11797258613507576,0.5546218487394958,0.5925981572637873,-0.4630587580696067,0.5185185185185185,0.3333333333333333,1.3580246913580245,0.4727272727272727,0.6190476190476191,1.238095238095238,0.4166666666666667,0.7142857142857143,1.0912698412698412,68,0.6181818181818182,0.7071158070321445,1.143863805493175,0.613095238095238,0.24182277245140718,0.11670496219400914,0.11797258613507576,0.5546218487394958,0.5925981572637874,0.4630587580696068,0.7407407407407407,0.29411764705882354,1.1982570806100217,0.7090909090909091,0.5735294117647058,1.147058823529412,0.6944444444444444,0.7352941176470589,1.1233660130718954,0.613095238095238,local_only,ASHBRITTLE   PHARMACY,11,
LocalOnly_ASHBRITTLE   PHARMACY_s19,110,42,0.38181818181818183,0.41982296950643133,1.0995363487073202,0.5241596638655462,0.26702838471790186,0.1644381432174122,0.008988968316207744,0.5042016806722689,0.11806623665709194,-0.4713810532072105,0.4444444444444444,0.2857142857142857,1.164021164021164,0.4,0.5238095238095238,1.0476190476190477,0.3888888888888889,0.6666666666666666,1.0185185185185186,68,0.6181818181818182,0.6446532019480886,1.0428213560924964,0.5241596638655461,0.26702838471790186,0.16443814321741215,0.008988968316207744,0.5042016806722689,0.11806623665709187,0.47138105320721063,0.6666666666666666,0.2647058823529412,1.0784313725490196,0.6363636363636364,0.5147058823529411,1.0294117647058825,0.6388888888888888,0.6764705882352942,1.0334967320261437,0.5241596638655462,local_only,ASHBRITTLE   PHARMACY,19,
LocalOnly_ASHBRITTLE   PHARMACY_s23,110,42,0.38181818181818183,0.43984463953745956,1.1519740559314418,0.5707282913165266,0.2576643808152356,0.1508935812256145,0.080247430883929,0.5381652661064427,0.2508995141533752,-0.4617065865690653,0.5185185185185185,0.3333333333333333,1.3580246913580245,0.43636363636363634,0.5714285714285714,1.1428571428571428,0.4027777777777778,0.6904761904761905,1.0548941798941798,68,0.6181818181818182,0.6562306631082123,1.061549602086814,0.5707282913165266,0.2576643808152356,0.15089358122561455,0.080247430883929,0.5381652661064427,0.2508995141533752,0.4617065865690653,0.7037037037037037,0.27941176470588236,1.1383442265795207,0.6727272727272727,0.5441176470588235,1.0882352941176472,0.6944444444444444,0.7352941176470589,1.1233660130718954,0.5707282913165266,local_only,ASHBRITTLE   PHARMACY,23,
LocalOnly_ASHBRITTLE   PHARMACY_s37,110,42,0.38181818181818183,0.38890322296254426,1.0185560601399968,0.5301120448179272,0.26509450300570087,0.144470795155857,0.12073925380701243,0.5574229691876751,0.16368515159276936,-0.4688723166828586,0.37037037037037035,0.23809523809523808,0.9700176366843033,0.41818181818181815,0.5476190476190477,1.0952380952380951,0.4027777777777778,0.6904761904761905,1.0548941798941798,68,0.6181818181818182,0.6906655135485433,1.1172530366226436,0.5301120448179272,0.26509450300570087,0.14447079515585703,0.12073925380701243,0.5574229691876751,0.16368515159276933,0.46887231668285856,0.7407407407407407,0.29411764705882354,1.1982570806100217,0.6545454545454545,0.5294117647058824,1.0588235294117647,0.6388888888888888,0.6764705882352942,1.0334967320261437,0.5301120448179272,local_only,ASHBRITTLE   PHARMACY,37,
LocalOnly_BALLANTYNE PARK PHARMACY_s7,114,35,0.30701754385964913,0.4582594669159745,1.4926165493834598,0.6683544303797468,0.2267030652002422,0.1706878826976084,0.1704527378491795,0.5804701627486437,0.47608587416054543,-0.7294863367038485,0.5,0.4,1.6285714285714286,0.40350877192982454,0.6571428571428571,1.314285714285714,0.37333333333333335,0.8,1.216,79,0.6929824561403509,0.7974846928022097,1.150800695942429,0.6683544303797468,0.2267030652002422,0.1706878826976084,0.1704527378491795,0.5804701627486437,0.47608587416054565,0.7294863367038485,0.8214285714285714,0.2911392405063291,1.1853526220614827,0.7894736842105263,0.569620253164557,1.1392405063291138,0.7733333333333333,0.7341772151898734,1.1159493670886076,0.6683544303797468,local_only,BALLANTYNE PARK PHARMACY,7,
LocalOnly_BALLANTYNE PARK PHARMACY_s11,114,35,0.30701754385964913,0.40748705280980585,1.3272435434376533,0.633996383363472,0.2416185457054399,0.20690783457963266,0.22502906038113507,0.6074141048824593,0.3459887382291717,-0.7668096893058037,0.42857142857142855,0.34285714285714286,1.3959183673469386,0.38596491228070173,0.6285714285714286,1.2571428571428571,0.3466666666666667,0.7428571428571429,1.1291428571428572,79,0.6929824561403509,0.7838577145757029,1.131136448881394,0.633996383363472,0.2416185457054399,0.20690783457963272,0.22502906038113507,0.6074141048824593,0.34598873822917176,0.7668096893058037,0.8928571428571429,0.31645569620253167,1.2884267631103075,0.7719298245614035,0.5569620253164557,1.1139240506329113,0.7733333333333333,0.7341772151898734,1.1159493670886076,0.633996383363472,local_only,BALLANTYNE PARK PHARMACY,11,
LocalOnly_BALLANTYNE PARK PHARMACY_s19,114,35,0.30701754385964913,0.5032113124557239,1.6390311319986435,0.6990958408679928,0.21986400141854462,0.1647324379712838,0.19187561415599363,0.5884267631103074,0.7263536801756064,-0.7341232762805333,0.5714285714285714,0.45714285714285713,1.8612244897959183,0.45614035087719296,0.7428571428571429,1.4857142857142855,0.37333333333333335,0.8,1.216,79,0.6929824561403509,0.8120005803497791,1.1717476729098077,0.6990958408679928,0.21986400141854462,0.16473243797128376,0.19187561415599363,0.5884267631103074,0.7263536801756064,0.7341232762805334,0.8571428571428571,0.3037974683544304,1.236889692585895,0.8421052631578947,0.6075949367088608,1.2151898734177213,0.7733333333333333,0.7341772151898734,1.1159493670886076,0.6990958408679928,local_only,BALLANTYNE PARK PHARMACY,19,
LocalOnly_BALLANTYNE PARK PHARMACY_s23,114,35,0.30701754385964913,0.44776791820399847,1.4584440764358806,0.6741410488245931,0.22440459236566457,0.16450221270984053,0.2030745398678227,0.5947558770343581,0.5191798606131273,-0.7187118693890827,0.5357142857142857,0.42857142857142855,1.7448979591836733,0.43859649122807015,0.7142857142857143,1.4285714285714284,0.37333333333333335,0.8,1.216,79,0.6929824561403509,0.806314156714405,1.163541947663825,0.6741410488245932,0.22440459236566457,0.16450221270984053,0.2030745398678227,0.5947558770343581,0.5191798606131272,0.7187118693890827,0.8571428571428571,0.3037974683544304,1.236889692585895,0.8245614035087719,0.5949367088607594,1.1898734177215189,0.7866666666666666,0.7468354430379747,1.1351898734177215,0.6741410488245931,local_only,BALLANTYNE PARK PHARMACY,23,
LocalOnly_BALLANTYNE PARK PHARMACY_s37,114,35,0.30701754385964913,0.4882462231645463,1.5902876983073793,0.7207956600361664,0.2189113039727843,0.19488747590579583,0.22582538422786116,0.6027124773960217,0.6746171724643082,-0.7560984340955798,0.6071428571428571,0.4857142857142857,1.977551020408163,0.45614035087719296,0.7428571428571429,1.4857142857142855,0.4,0.8571428571428571,1.302857142857143,79,0.6929824561403509,0.8318877838455021,1.2004456627643953,0.7207956600361664,0.2189113039727843,0.19488747590579583,0.22582538422786116,0.6027124773960217,0.6746171724643081,0.7560984340955798,0.8928571428571429,0.31645569620253167,1.2884267631103075,0.8421052631578947,0.6075949367088608,1.2151898734177213,0.8133333333333334,0.7721518987341772,1.1736708860759493,0.7207956600361664,local_only,BALLANTYNE PARK PHARMACY,37,
