pr_auc,auroc,mcc,bal_acc,sens,spec,brier,ece,model,outcome,site_test,seed,fold,n_test,n_pos_test
0.1914018523218804,0.5495169082125604,0.007858682668274145,0.5054347826086957,0.4166666666666667,0.5942028985507246,0.22596551899239767,0.293939449960531,LR-local-A,Y6-base,all,7,0,81,12
0.17420023479345514,0.5477272727272727,0.08042946923566698,0.5590909090909091,0.5,0.6181818181818182,0.22198336960409404,0.30921447426108983,LR-local-A,Y6-base,A,7,0,63,8
0.3112373737373737,0.5,-0.2091650066335189,0.375,0.25,0.5,0.23990304185146039,0.26278998578096135,LR-local-A,Y6-base,B,7,0,18,4
0.35441258698108014,0.608695652173913,0.05716310740294926,0.5398550724637681,0.5,0.5797101449275363,0.23642120192640873,0.3201401511841299,EN-compact,Y6-base,all,7,0,81,12
0.2105345199095199,0.5545454545454546,0.0337099931231621,0.5238636363636364,0.375,0.6727272727272727,0.2126545026246401,0.2942265395666724,EN-compact,Y6-base,A,7,0,63,8
0.6291666666666667,0.6428571428571428,-0.03571428571428571,0.48214285714285715,0.75,0.21428571428571427,0.31960464948259903,0.41083779184523095,EN-compact,Y6-base,B,7,0,18,4
0.22593284902161714,0.571256038647343,0.07858682668274145,0.5543478260869565,0.5,0.6086956521739131,0.23829158857827548,0.33589503483288574,EN-full,Y6-base,all,7,0,81,12
0.22862687168421608,0.5659090909090908,0.12063796017838169,0.5863636363636364,0.5,0.6727272727272727,0.22885470138715094,0.34434431478775795,EN-full,Y6-base,A,7,0,63,8
0.2951923076923077,0.44642857142857145,-0.12182898077463453,0.4285714285714286,0.5,0.35714285714285715,0.2713206937472112,0.30632255499083294,EN-full,Y6-base,B,7,0,18,4
0.17469790116885447,0.5120772946859904,-0.08178608201095307,0.4782608695652174,0.0,0.9565217391304348,0.16078180152239246,0.17015910714062352,GBM-full,Y6-base,all,7,0,81,12
0.20063110895081057,0.5568181818181818,-0.04843594796964828,0.4909090909090909,0.0,0.9818181818181818,0.12734629334060724,0.13672193977438635,GBM-full,Y6-base,A,7,0,63,8
0.22489495798319326,0.39285714285714285,-0.1889822365046136,0.42857142857142855,0.0,0.8571428571428571,0.2778060801586408,0.31418401269354085,GBM-full,Y6-base,B,7,0,18,4
0.3637750838869314,0.533816425120773,0.0,0.5,0.0,1.0,0.14043677834234217,0.12396002414120014,FL-FedAvg,Y6-base,all,7,0,81,12
0.282053722740538,0.4954545454545455,0.0,0.5,0.0,1.0,0.1278668692381,0.13334256181818677,FL-FedAvg,Y6-base,A,7,0,63,8
0.5299145299145299,0.5535714285714286,0.0,0.5,0.0,1.0,0.18443146020718987,0.09112114227174695,FL-FedAvg,Y6-base,B,7,0,18,4
0.3637750838869314,0.533816425120773,0.0,0.5,0.0,1.0,0.14069302412898319,0.12458277719921057,FL-FedProx,Y6-base,all,7,0,81,12
0.282053722740538,0.4954545454545455,0.0,0.5,0.0,1.0,0.12814469781831545,0.13386571319254684,FL-FedProx,Y6-base,A,7,0,63,8
0.5299145299145299,0.5535714285714286,0.0,0.5,0.0,1.0,0.18461216621632026,0.11462431989341271,FL-FedProx,Y6-base,B,7,0,18,4
0.2551012993767935,0.49758454106280187,0.0,0.5,0.0,1.0,0.15137374064809322,0.17018250436291107,FL-FedAvg-E,Y6-base,all,7,0,81,12
0.3049252494745337,0.5909090909090908,0.0,0.5,0.0,1.0,0.1423239961038139,0.1946559097200316,FL-FedAvg-E,Y6-base,A,7,0,63,8
0.2569444444444444,0.42857142857142855,0.0,0.5,0.0,1.0,0.1830478465530707,0.08452558561298906,FL-FedAvg-E,Y6-base,B,7,0,18,4
0.16348047419114126,0.5675324675324676,0.012182898077463453,0.5077922077922078,0.2727272727272727,0.7428571428571429,0.20821808740543937,0.263275217392273,LR-local-A,Y6-base,all,7,1,81,11
0.13588067604931792,0.5068181818181818,-0.055271767544800184,0.46136363636363636,0.25,0.6727272727272727,0.229474478635346,0.30469897695374504,LR-local-A,Y6-base,A,7,1,63,8
0.7380952380952381,0.7555555555555555,0.5423261445466404,0.6666666666666666,0.3333333333333333,1.0,0.13382071810076615,0.18335037056380823,LR-local-A,Y6-base,B,7,1,18,3
0.16221312915817632,0.5753246753246753,0.09074222442419232,0.5629870129870129,0.45454545454545453,0.6714285714285714,0.21505323695796524,0.2958371123887832,EN-compact,Y6-base,all,7,1,81,11
0.17363604243875408,0.6136363636363636,0.09035374434125316,0.5602272727272728,0.375,0.7454545454545455,0.20067352287912188,0.286044953335802,EN-compact,Y6-base,A,7,1,63,8
0.17498514557338088,0.37777777777777777,0.050964719143762556,0.5333333333333333,0.6666666666666666,0.4,0.265382236233917,0.33010966907421724,EN-compact,Y6-base,B,7,1,18,3
0.1518916541983306,0.5506493506493506,-0.07005166394541486,0.45519480519480515,0.18181818181818182,0.7285714285714285,0.21991049282556385,0.28726927071044916,EN-full,Y6-base,all,7,1,81,11
0.1391861391582565,0.5340909090909092,-0.1944689739217591,0.38181818181818183,0.0,0.7636363636363637,0.21334510035938412,0.27927856288303626,EN-full,Y6-base,A,7,1,63,8
0.23333333333333334,0.5555555555555556,0.2,0.6333333333333333,0.6666666666666666,0.6,0.24288936645719283,0.31523674810639424,EN-full,Y6-base,B,7,1,18,3
0.13777902702920727,0.4337662337662338,0.048065801332024816,0.5168831168831168,0.09090909090909091,0.9428571428571428,0.14950997017684184,0.13633982830299962,GBM-full,Y6-base,all,7,1,81,11
0.1414210241512873,0.46590909090909094,0.06438763875992323,0.5261363636363636,0.125,0.9272727272727272,0.14466971558765696,0.13440167527453556,GBM-full,Y6-base,A,7,1,63,8
0.17677224736048266,0.3555555555555555,0.0,0.5,0.0,1.0,0.16645086123898886,0.14312336390262384,GBM-full,Y6-base,B,7,1,18,3
0.14374858468206533,0.5103896103896104,-0.04432026302139592,0.4928571428571429,0.0,0.9857142857142858,0.1395979410799566,0.11956213082710755,FL-FedAvg,Y6-base,all,7,1,81,11
0.12383279146000001,0.4545454545454546,-0.04843594796964828,0.4909090909090909,0.0,0.9818181818181818,0.13728308240062573,0.12233205389540407,FL-FedAvg,Y6-base,A,7,1,63,8
0.28535353535353536,0.6666666666666666,0.0,0.5,0.0,1.0,0.14769994645761464,0.10986740008806961,FL-FedAvg,Y6-base,B,7,1,18,3
0.14374858468206533,0.5103896103896104,-0.04432026302139592,0.4928571428571429,0.0,0.9857142857142858,0.13983934216658678,0.12072420424288847,FL-FedProx,Y6-base,all,7,1,81,11
0.12383279146000001,0.4545454545454546,-0.04843594796964828,0.4909090909090909,0.0,0.9818181818181818,0.13751498895821818,0.12349864369882219,FL-FedProx,Y6-base,A,7,1,63,8
0.28535353535353536,0.6666666666666666,0.0,0.5,0.0,1.0,0.1479745783958769,0.11101366614712042,FL-FedProx,Y6-base,B,7,1,18,3
0.11581822437241147,0.39610389610389607,-0.07774288420142414,0.4785714285714286,0.0,0.9571428571428572,0.15628888052717163,0.1483686804251393,FL-FedAvg-E,Y6-base,all,7,1,81,11
0.11566574905824399,0.4113636363636364,-0.08528028654224418,0.4727272727272727,0.0,0.9454545454545454,0.15700895371330212,0.1930249293948376,FL-FedAvg-E,Y6-base,A,7,1,63,8
0.20555555555555555,0.5111111111111112,0.0,0.5,0.0,1.0,0.15376862437571506,0.20024649167735023,FL-FedAvg-E,Y6-base,B,7,1,18,3
